	name	ores_score
678	Moshe Gutman	Stub
679	Uładzimir Hančaryk	Stub
680	Tamaš Hryb	C
681	Anatoĺ Kalinin	Start
682	Uładzisłau Kazłouski	Start
683	Pavel Pavlovich Kozlovsky	C
684	Ivan Kubrakov	Start
685	Vladimir Kumets	C
686	Vyacheslav Nikolayevich Kuznetsov	Stub
687	Valery Levaneuski	C
688	Pavel Liohki	Start
689	Uladzimir Mackievič	C
690	Vladimir Parfenovich	Start
691	Jan Pazniak	Stub
692	Aleksandr Potupa	C
693	Pyotr Prakapovich	Stub
694	Alexander Radkov	Start
695	Symon Rak-Michajłoŭski	GA
696	Vladimir Vasilievich Rusakevich	Start
697	Ihar Rynkevich	C
698	Aliaksandr Shakutsin	C
699	Nikolai Shelyagovich	Start
700	Jan Stankievič	Start
701	Mikola Statkevich	C
702	Sergei Tikhanovsky	C
703	Alaksandar Ćvikievič	C
704	Aleksandr Turchin	Stub
705	Franak Viačorka	C
706	Yury Voskresensky	C
707	Ivan Yermachenka	Start
708	Manuel Abramowicz	Stub
709	Rudy Aernoudt	C
710	Herman Baltia	Start
711	Jan Béghin	Start
712	Frank Beke	Stub
713	Gustave Boël	Start
714	Pol Clovis Boël	Start
715	Antoine Brun	Start
716	Fernand Cocq	Stub
717	Émile Coulonvaux	Stub
718	Auguste Couvreur	Stub
719	Nico Cué	Start
720	Pierre David (mayor)	GA
721	August De Boodt	Start
722	Dirk De fauw	Start
723	René De Feyter	Stub
724	François-Philippe de Haussy	Stub
725	Victor de Laveleye	Start
726	Édouard Descamps	Start
727	José Desmarets	Stub
728	Émile van Dievoet	C
729	Marc Drumaux	Start
730	Jos Dupré	Stub
731	Françoise Dupuis	Stub
732	Veerle Geerinckx	Start
733	Eugène Goblet d'Alviella	Start
734	Jean-Pierre Grafé	Stub
735	Jacques Grippa	Stub
736	Guy Hance	Stub
737	Joris Helleputte	Start
738	Lucienne Herman-Michielsens	Start
739	Jules Hiernaux	Stub
740	Julius Hoste Jr.	Start
741	Norbert Hougardy	Stub
